10 , 12397256
12 , 12397244
213 , 12397268
1212 , 12397280
123123123 , 12397076
123131231 , 12397064
130202016 , 12397196
170170170 , 12397184
180180180 , 12397172
180202016 , 12397052
190181813 , 12397208
190190190 , 12397088
190202010 , 12396644
190202011 , 12396656
190202012 , 12396668
190202013 , 12396692
190202013 , 12397220
190202014 , 12396704
190202015 , 12396632
190202016 , 12396728
190202017 , 12396764
190202018 , 12396776
190202020 , 12396788
190202020 , 12397100
190202021 , 12396812
190202021 , 12397124
190202022 , 12396824
190202022 , 12397136
190202023 , 12396716
190202024 , 12396848
190202024 , 12397160
190202025 , 12396860
190202026 , 12396872
190202027 , 12396884
190202028 , 12396680
190202028 , 12396800
190202028 , 12396896
190202028 , 12397112
190202029 , 12396908
190202030 , 12396920
190202031 , 12396836
190202031 , 12397148
190202032 , 12396944
190202033 , 12396956
190202034 , 12396968
190202035 , 12396980
190202036 , 12396932
190202037 , 12397004
190202038 , 12397016
190202039 , 12397028
190202040 , 12396992
190202041 , 12396740
190202042 , 12396752
190202094 , 12397232
190202099 , 12397040
